nombre_estacion,dia_semana,total_minutos,minutos_sin_bicis,minutos_sin_anclajes,minutos_inutilizada,pct_inutilizada
1 Autobus geltokia - Estación de autobuses,Domingo,14281.324733333333,1271.9833333333333,0.0,1271.9833333333333,8.906620058603247
1 Autobus geltokia - Estación de autobuses,Jueves,13883.86165,872.3692833333333,0.0,872.3692833333333,6.28333316281161
1 Autobus geltokia - Estación de autobuses,Lunes,14176.4131,567.25,0.0,567.25,4.001364773999144
1 Autobus geltokia - Estación de autobuses,Martes,14234.528966666667,1593.2394666666667,0.0,1593.2394666666667,11.19277968661691
1 Autobus geltokia - Estación de autobuses,Miércoles,14224.613266666667,1520.76445,0.0,1520.76445,10.691077651746724
1 Autobus geltokia - Estación de autobuses,Sábado,14409.31355,1655.7905333333333,0.0,1655.7905333333333,11.491113213601583
1 Autobus geltokia - Estación de autobuses,Viernes,15037.05265,1271.1586333333332,4.933333333333334,1276.0919666666666,8.486317075352307
10 AUO - HUA,Domingo,14281.324733333333,2455.649033333333,84.53321666666666,2540.18225,17.7867410582093
10 AUO - HUA,Jueves,13883.86165,2820.4004,0.0,2820.4004,20.314235845183603
10 AUO - HUA,Lunes,14176.4131,2316.0765333333334,0.0,2316.0765333333334,16.337535574025658
10 AUO - HUA,Martes,14234.528966666667,3878.453033333333,0.0,3878.453033333333,27.246795748672813
10 AUO - HUA,Miércoles,14224.613266666667,3006.32455,0.0,3006.32455,21.134666325480275
10 AUO - HUA,Sábado,14409.31355,3314.200316666667,99.52083333333333,3413.72115,23.691074097003042
10 AUO - HUA,Viernes,15037.05265,2254.11175,9.283333333333333,2263.3950833333333,15.052119162017656
11 San Martin (Udala) - Ayuntamiento San Martín,Domingo,14281.324733333333,1960.9557333333332,0.0,1960.9557333333332,13.73090921149887
11 San Martin (Udala) - Ayuntamiento San Martín,Jueves,13883.86165,1411.7541333333334,0.0,1411.7541333333334,10.168310293795914
11 San Martin (Udala) - Ayuntamiento San Martín,Lunes,14176.4131,1089.9295,0.0,1089.9295,7.688330555209342
11 San Martin (Udala) - Ayuntamiento San Martín,Martes,14234.528966666667,1365.5049,330.68916666666667,1696.1940666666667,11.916053356164328
11 San Martin (Udala) - Ayuntamiento San Martín,Miércoles,14224.613266666667,2031.6423833333333,10.075066666666666,2041.71745,14.353412720080557
11 San Martin (Udala) - Ayuntamiento San Martín,Sábado,14409.31355,1993.3069333333333,0.0,1993.3069333333333,13.833462131395796
11 San Martin (Udala) - Ayuntamiento San Martín,Viernes,15037.05265,1835.5171333333333,225.45,2060.9671333333335,13.705924833170904
12 Zabalganeko gizarte-etxea - CC Zabalgana,Domingo,14281.324733333333,3671.57115,0.0,3671.57115,25.70889758868355
12 Zabalganeko gizarte-etxea - CC Zabalgana,Jueves,13883.86165,3174.360416666667,0.0,3174.360416666667,22.86367076170531
12 Zabalganeko gizarte-etxea - CC Zabalgana,Lunes,14176.4131,1915.7898666666667,175.33333333333334,2091.1232,14.750721393693023
12 Zabalganeko gizarte-etxea - CC Zabalgana,Martes,14234.528966666667,1471.1151333333332,179.4,1650.5151333333333,11.595151038705838
12 Zabalganeko gizarte-etxea - CC Zabalgana,Miércoles,14224.613266666667,2121.1179666666667,0.0,2121.1179666666667,14.911603759641054
12 Zabalganeko gizarte-etxea - CC Zabalgana,Sábado,14409.31355,3548.9934166666667,0.0,3548.9934166666667,24.62985765665892
12 Zabalganeko gizarte-etxea - CC Zabalgana,Viernes,15037.05265,4290.155333333333,0.0,4290.155333333333,28.530560031877876
2 Leizaola plaza - Plaza de Leizaola,Domingo,14281.324733333333,1854.1065833333334,0.0,1854.1065833333334,12.982735271089767
2 Leizaola plaza - Plaza de Leizaola,Jueves,13883.86165,887.2248833333333,0.0,887.2248833333333,6.390332212315967
2 Leizaola plaza - Plaza de Leizaola,Lunes,14176.4131,718.7968166666667,0.0,718.7968166666667,5.07037155023838
2 Leizaola plaza - Plaza de Leizaola,Martes,14234.528966666667,1226.0833333333333,0.0,1226.0833333333333,8.613445068709204
2 Leizaola plaza - Plaza de Leizaola,Miércoles,14224.613266666667,1464.50175,0.0,1464.50175,10.295547039101926
2 Leizaola plaza - Plaza de Leizaola,Sábado,14409.31355,1393.6585666666667,0.0,1393.6585666666667,9.671928935620022
2 Leizaola plaza - Plaza de Leizaola,Viernes,15037.05265,1758.7664333333332,9.283333333333333,1768.0497666666668,11.75795422028177
3 Ballester apezpikua - Obispo Ballester,Domingo,14281.324733333333,1117.1812666666667,0.0,1117.1812666666667,7.822672528824369
3 Ballester apezpikua - Obispo Ballester,Jueves,13883.86165,683.0,0.0,683.0,4.91938062491425
3 Ballester apezpikua - Obispo Ballester,Lunes,14176.4131,400.48063333333334,25.016666666666666,425.4973,3.001445407936088
3 Ballester apezpikua - Obispo Ballester,Martes,14234.528966666667,1019.9,0.0,1019.9,7.164971896072739
3 Ballester apezpikua - Obispo Ballester,Miércoles,14224.613266666667,1315.5234333333333,0.0,1315.5234333333333,9.248219327101658
3 Ballester apezpikua - Obispo Ballester,Sábado,14409.31355,1171.45,0.0,1171.45,8.129811291392157
3 Ballester apezpikua - Obispo Ballester,Viernes,15037.05265,1069.63445,9.283333333333333,1078.9177833333333,7.175061552593109
4 Antso Jakituna - Sancho el Sabio,Domingo,14281.324733333333,2189.2539166666666,0.0,2189.2539166666666,15.329487687909213
4 Antso Jakituna - Sancho el Sabio,Jueves,13883.86165,2237.2671333333333,0.0,2237.2671333333333,16.114156059264197
