nombre_estacion,tipo_dia,total_minutos,minutos_sin_bicis,minutos_sin_anclajes,minutos_inutilizada,pct_inutilizada
1 Autobus geltokia - Estación de autobuses,Fin de semana,25611.238283333332,2685.9405333333334,0.0,2685.9405333333334,10.487351308902644
1 Autobus geltokia - Estación de autobuses,Laborable,61356.76963333334,4788.015166666667,4.933333333333334,4792.9485,7.811605025236093
10 AUO - HUA,Fin de semana,25611.238283333332,5589.216016666666,184.05405,5773.270066666667,22.541940388816176
10 AUO - HUA,Laborable,61356.76963333334,12668.882933333334,9.283333333333333,12678.166266666667,20.663027637261706
11 San Martin (Udala) - Ayuntamiento San Martín,Fin de semana,25611.238283333332,3586.746,0.0,3586.746,14.00457861631039
11 San Martin (Udala) - Ayuntamiento San Martín,Laborable,61356.76963333334,5795.09805,566.2142333333334,6361.312283333334,10.367743154257292
12 Zabalganeko gizarte-etxea - CC Zabalgana,Fin de semana,25611.238283333332,7055.314566666667,0.0,7055.314566666667,27.54772919846658
12 Zabalganeko gizarte-etxea - CC Zabalgana,Laborable,61356.76963333334,12637.205383333334,354.73333333333335,12991.938716666667,21.174417744457863
2 Leizaola plaza - Plaza de Leizaola,Fin de semana,25611.238283333332,2793.21515,0.0,2793.21515,10.90620890368156
2 Leizaola plaza - Plaza de Leizaola,Laborable,61356.76963333334,5236.173216666667,9.283333333333333,5245.45655,8.549108079429098
3 Ballester apezpikua - Obispo Ballester,Fin de semana,25611.238283333332,2104.5646,0.0,2104.5646,8.217348090387173
3 Ballester apezpikua - Obispo Ballester,Laborable,61356.76963333334,4203.12185,34.3,4237.42185,6.906201019582251
4 Antso Jakituna - Sancho el Sabio,Fin de semana,25611.238283333332,2914.9389166666665,10.133333333333333,2925.07225,11.421049687798613
4 Antso Jakituna - Sancho el Sabio,Laborable,61356.76963333334,5577.67965,0.0,5577.67965,9.090569277574565
5 Mendizorrotza - Mendizorroza,Fin de semana,25611.238283333332,5352.469616666666,30.0,5382.469616666666,21.016045991690067
5 Mendizorrotza - Mendizorroza,Laborable,61356.76963333334,16524.566283333334,469.6126,16984.89555,27.682186744024094
6 Unibertsitatea - Universidad,Fin de semana,25611.238283333332,6439.4414,0.0,6439.4414,25.14303029303548
6 Unibertsitatea - Universidad,Laborable,61356.76963333334,14687.490183333333,4.933333333333334,14692.423516666666,23.945888293122756
7 Salburuko gizarte-etxea - C.C. Salburua,Fin de semana,25611.238283333332,6204.272283333334,303.74533333333335,6508.017616666667,25.410788594715466
7 Salburuko gizarte-etxea - C.C. Salburua,Laborable,61356.76963333334,11286.96135,214.84228333333334,11501.803633333333,18.745777690168257
8 Tren geltokia - Estación de Tren,Fin de semana,25611.238283333332,3467.0142333333333,409.5853333333333,3876.5995666666668,15.136322280791036
8 Tren geltokia - Estación de Tren,Laborable,61356.76963333334,8723.708483333334,9.483333333333334,8733.191816666667,14.23346090228678
9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,Fin de semana,25611.238283333332,6080.795416666667,242.45235,6323.247766666666,24.689348077252312
9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,Laborable,61356.76963333334,8486.31395,683.2489166666667,9169.562866666667,14.944663680085778
