id_estacion,nombre_estacion,total_minutos,minutos_sin_bicis,minutos_sin_anclajes,minutos_inutilizada,pct_sin_bicis,pct_sin_anclajes,pct_inutilizada,tipo_indisponibilidad
st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,72740.47458333333,19143.303283333335,170.11666666666667,19313.41995,26.31726475939098,0.23386796366275658,26.551132723053733,Sin bicis
st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,72740.47458333333,19272.04825,4.933333333333334,19276.981583333334,26.494256959956253,0.006782102208697556,26.50103906216495,Sin bicis
st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,72740.47458333333,17795.302566666665,499.6126,18285.631833333333,24.464100170641473,0.6868426455310395,25.13818054951628,Sin bicis
st_d4sl14gvnoqc739efed0,10 AUO - HUA,72740.47458333333,16438.665616666665,188.42071666666666,16627.086333333333,22.59906291625045,0.25903146459514387,22.858094380845593,Sin bicis
st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,72740.47458333333,15445.166966666666,518.5876166666667,15963.754583333333,21.233250202364697,0.7129285581888246,21.946178760553522,Sin bicis
st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,72740.47458333333,13257.409366666667,925.7012666666667,14183.110633333334,18.22562946228601,1.2726082307947548,19.498237693080767,Sin bicis
st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,72740.47458333333,11211.90605,309.352,11521.25805,15.413572861908339,0.42528180049966335,15.838854662408005,Sin bicis
st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,72740.47458333333,8281.84405,470.31423333333333,8752.158283333334,11.385468815593319,0.6465647028388981,12.032033518432216,Sin bicis
st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,72740.47458333333,7714.835233333333,0.0,7714.835233333333,10.605973191025889,0.0,10.605973191025889,Sin bicis
st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,72740.47458333333,7610.7717,9.283333333333333,7620.055033333333,10.462911801985712,0.012762266656231546,10.475674068641943,Sin bicis
st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,72740.47458333333,6857.339033333334,4.933333333333334,6862.272366666667,9.427129906167153,0.006782102208697556,9.43391200837585,Sin bicis
st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,72740.47458333333,6307.68645,34.3,6341.98645,8.671494771145264,0.047153940356417456,8.718648711501682,Sin bicis
