2026-07-30T15:15:14.479Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:15:14.479Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T15:20:14.516Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,9,15
2026-07-30T15:20:14.516Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
2026-07-30T15:20:14.516Z,st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,19,5
2026-07-30T15:20:14.516Z,st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,8,16
2026-07-30T15:20:14.516Z,st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,4,6
2026-07-30T15:20:14.516Z,st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,3,7
2026-07-30T15:20:14.516Z,st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,0,10
2026-07-30T15:20:14.516Z,st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,3,7
2026-07-30T15:20:14.516Z,st_d4sl14gvnoqc739efed0,10 AUO - HUA,2,8
2026-07-30T15:20:14.516Z,st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,2,8
2026-07-30T15:20:14.516Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:20:14.516Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T15:25:09.904Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,9,15
2026-07-30T15:25:09.904Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
2026-07-30T15:25:09.904Z,st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,19,5
2026-07-30T15:25:09.904Z,st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,8,16
2026-07-30T15:25:09.904Z,st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,4,6
2026-07-30T15:25:09.904Z,st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,3,7
2026-07-30T15:25:09.904Z,st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,0,10
2026-07-30T15:25:09.904Z,st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,3,7
2026-07-30T15:25:09.904Z,st_d4sl14gvnoqc739efed0,10 AUO - HUA,2,8
2026-07-30T15:25:09.904Z,st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,2,8
2026-07-30T15:25:09.904Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:25:09.904Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T15:30:23.428Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,9,15
2026-07-30T15:30:23.428Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
2026-07-30T15:30:23.428Z,st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,19,5
2026-07-30T15:30:23.428Z,st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,8,16
2026-07-30T15:30:23.428Z,st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,5,5
2026-07-30T15:30:23.428Z,st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,3,7
2026-07-30T15:30:23.428Z,st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,0,10
2026-07-30T15:30:23.428Z,st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,3,7
2026-07-30T15:30:23.428Z,st_d4sl14gvnoqc739efed0,10 AUO - HUA,2,8
2026-07-30T15:30:23.428Z,st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,2,8
2026-07-30T15:30:23.428Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:30:23.428Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T15:35:10.462Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,9,15
2026-07-30T15:35:10.462Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
2026-07-30T15:35:10.462Z,st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,19,5
2026-07-30T15:35:10.462Z,st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,8,16
2026-07-30T15:35:10.462Z,st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,5,5
2026-07-30T15:35:10.462Z,st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,3,7
2026-07-30T15:35:10.462Z,st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,1,9
2026-07-30T15:35:10.462Z,st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,3,7
2026-07-30T15:35:10.462Z,st_d4sl14gvnoqc739efed0,10 AUO - HUA,2,8
2026-07-30T15:35:10.462Z,st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,2,8
2026-07-30T15:35:10.462Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:35:10.462Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T15:40:13.994Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,9,15
2026-07-30T15:40:13.994Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
2026-07-30T15:40:13.994Z,st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,19,5
2026-07-30T15:40:13.994Z,st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,8,16
2026-07-30T15:40:13.994Z,st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,5,5
2026-07-30T15:40:13.994Z,st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,3,7
2026-07-30T15:40:13.994Z,st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,3,7
2026-07-30T15:40:13.994Z,st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,4,6
2026-07-30T15:40:13.994Z,st_d4sl14gvnoqc739efed0,10 AUO - HUA,2,8
2026-07-30T15:40:13.994Z,st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,2,8
2026-07-30T15:40:13.994Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:40:13.994Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T15:45:14.297Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,8,16
2026-07-30T15:45:14.297Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
2026-07-30T15:45:14.297Z,st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,19,5
2026-07-30T15:45:14.297Z,st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,8,16
2026-07-30T15:45:14.297Z,st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,5,5
2026-07-30T15:45:14.297Z,st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,3,7
2026-07-30T15:45:14.297Z,st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,3,7
2026-07-30T15:45:14.297Z,st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,4,6
2026-07-30T15:45:14.297Z,st_d4sl14gvnoqc739efed0,10 AUO - HUA,2,8
2026-07-30T15:45:14.297Z,st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,2,8
2026-07-30T15:45:14.297Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:45:14.297Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T15:50:14.379Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,8,16
2026-07-30T15:50:14.379Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
2026-07-30T15:50:14.379Z,st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,18,6
2026-07-30T15:50:14.379Z,st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,8,16
2026-07-30T15:50:14.379Z,st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,5,5
2026-07-30T15:50:14.379Z,st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,3,7
2026-07-30T15:50:14.379Z,st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,3,7
2026-07-30T15:50:14.379Z,st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,4,6
2026-07-30T15:50:14.379Z,st_d4sl14gvnoqc739efed0,10 AUO - HUA,2,8
2026-07-30T15:50:14.379Z,st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,2,8
2026-07-30T15:50:14.379Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:50:14.379Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T15:55:10.048Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,7,17
2026-07-30T15:55:10.048Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
2026-07-30T15:55:10.048Z,st_d4sl14ffimdc73fprpdg,3 Ballester apezpikua - Obispo Ballester,18,6
2026-07-30T15:55:10.048Z,st_d4sl14d0ol7c73bfvs4g,4 Antso Jakituna - Sancho el Sabio,8,16
2026-07-30T15:55:10.048Z,st_d4sl14gvnoqc739efe8g,5 Mendizorrotza - Mendizorroza,5,5
2026-07-30T15:55:10.048Z,st_d4sl14h4gpvs73agnodg,6 Unibertsitatea - Universidad,3,7
2026-07-30T15:55:10.048Z,st_d4sl14gvnoqc739efea0,7 Salburuko gizarte-etxea - C.C. Salburua,3,7
2026-07-30T15:55:10.048Z,st_d4sl14gvnoqc739efebg,9 Ibaiondoko gizarte-etxea - C.C. Ibaiondo,4,6
2026-07-30T15:55:10.048Z,st_d4sl14gvnoqc739efed0,10 AUO - HUA,2,8
2026-07-30T15:55:10.048Z,st_d4sl14p4gpvs73agnoi0,11 San Martin (Udala) - Ayuntamiento San Martín,2,8
2026-07-30T15:55:10.048Z,st_d51sccd4faec738epl3g,12 Zabalganeko gizarte-etxea - CC Zabalgana,2,8
2026-07-30T15:55:10.048Z,st_d7p43v8g4a6c73a823dg,8 Tren geltokia - Estación de Tren,4,6
2026-07-30T16:00:31.572Z,st_d4sl1494gpvs73agno80,1 Autobus geltokia - Estación de autobuses,7,17
2026-07-30T16:00:31.572Z,st_d4sl14emk29c73efcpf0,2 Leizaola plaza - Plaza de Leizaola,14,10
